id,title,author,genre,publication_year,plot
1,The Whispering Woods,Emily Hart,Fantasy,2010,A young girl discovers a hidden world in the woods behind her house.
2,Echoes of Time,David Thompson,Science Fiction,2015,A scientist invents a time machine and travels to the future to save humanity.
3,Shadows of the Past,Laura Green,Mystery,2008,A detective unravels a series of murders linked to an ancient curse.
4,The Lost Kingdom,Michael Brown,Fantasy,2012,A prince embarks on a quest to reclaim his lost kingdom from a dark sorcerer.
5,Beyond the Stars,Sarah White,Science Fiction,2018,A spaceship crew discovers a new planet with intelligent life forms.
6,Murder in the Manor,Robert King,Mystery,2005,A wealthy family gathers for a weekend in a manor but one of them is murdered.
7,The Enchanted Forest,Amanda Clark,Fantasy,2014,A group of children enter a magical forest and encounter mythical creatures.
8,The Time Traveler's Dilemma,John Davis,Science Fiction,2017,A time traveler must decide whether to change the past or let history unfold.
9,The Haunted Mansion,Victoria Lane,Horror,2011,A family moves into a haunted mansion and must confront the ghosts within.
10,The Forgotten City,Thomas Lee,Fantasy,2013,A young adventurer discovers a forgotten city hidden beneath the earth.
11,The Alien Invasion,Karen Smith,Science Fiction,2016,Aliens invade Earth and a group of survivors must fight back.
12,The Mystery of the Lighthouse,James Wilson,Mystery,2009,A lighthouse keeper's mysterious death leads to a series of revelations.
13,The Dragon's Lair,Emma Johnson,Fantasy,2010,A dragon slayer must confront the most powerful dragon in the realm.
14,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
15,The Curse of the Pharaoh,Olivia Scott,Mystery,2007,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
16,The Enchanted Castle,Sophia Turner,Fantasy,2015,A princess must break a spell to save her kingdom from eternal darkness.
17,The Time Paradox,Paul Adams,Science Fiction,2018,A time traveler creates a paradox that threatens the existence of the universe.
18,The Ghostly Presence,Rebecca Young,Horror,2012,A woman moves into a new house and begins to experience strange occurrences.
19,The Lost Civilization,Ethan Gray,Fantasy,2014,An explorer discovers a lost civilization deep in the jungle.
20,The Alien Encounter,Megan Brown,Science Fiction,2017,A group of scientists make first contact with an alien species.
21,The Mystery of the Museum,Samuel Harris,Mystery,2010,A series of thefts at a museum leads to a complex mystery.
22,The Dragon's Quest,Ava Clark,Fantasy,2011,A young dragon rider embarks on a quest to save their kingdom.
23,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
24,The Haunted House,Charlotte Lee,Horror,2013,A family moves into a haunted house and must confront the spirits within.
25,The Forgotten Realm,Henry Scott,Fantasy,2015,A warrior must journey to a forgotten realm to save his people.
26,The Alien Invasion,Isabella Smith,Science Fiction,2018,Aliens invade Earth and a group of survivors must fight back.
27,The Mystery of the Manor,William Wilson,Mystery,2011,A wealthy family gathers for a weekend in a manor but one of them is murdered.
28,The Enchanted Forest,Natalie Johnson,Fantasy,2016,A group of children enter a magical forest and encounter mythical creatures.
29,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
30,The Haunted Mansion,Victoria Lane,Horror,2012,A family moves into a haunted mansion and must confront the ghosts within.
31,The Forgotten City,Thomas Lee,Fantasy,2014,A young adventurer discovers a forgotten city hidden beneath the earth.
32,The Alien Invasion,Karen Smith,Science Fiction,2017,Aliens invade Earth and a group of survivors must fight back.
33,The Mystery of the Lighthouse,James Wilson,Mystery,2010,A lighthouse keeper's mysterious death leads to a series of revelations.
34,The Dragon's Lair,Emma Johnson,Fantasy,2011,A dragon slayer must confront the most powerful dragon in the realm.
35,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
36,The Curse of the Pharaoh,Olivia Scott,Mystery,2008,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
37,The Enchanted Castle,Sophia Turner,Fantasy,2015,A princess must break a spell to save her kingdom from eternal darkness.
38,The Time Paradox,Paul Adams,Science Fiction,2018,A time traveler creates a paradox that threatens the existence of the universe.
39,The Ghostly Presence,Rebecca Young,Horror,2013,A woman moves into a new house and begins to experience strange occurrences.
40,The Lost Civilization,Ethan Gray,Fantasy,2016,An explorer discovers a lost civilization deep in the jungle.
41,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
42,The Mystery of the Museum,Samuel Harris,Mystery,2011,A series of thefts at a museum leads to a complex mystery.
43,The Dragon's Quest,Ava Clark,Fantasy,2012,A young dragon rider embarks on a quest to save their kingdom.
44,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
45,The Haunted House,Charlotte Lee,Horror,2014,A family moves into a haunted house and must confront the spirits within.
46,The Forgotten Realm,Henry Scott,Fantasy,2016,A warrior must journey to a forgotten realm to save his people.
47,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
48,The Mystery of the Manor,William Wilson,Mystery,2012,A wealthy family gathers for a weekend in a manor but one of them is murdered.
49,The Enchanted Forest,Natalie Johnson,Fantasy,2017,A group of children enter a magical forest and encounter mythical creatures.
50,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
51,The Haunted Mansion,Victoria Lane,Horror,2013,A family moves into a haunted mansion and must confront the ghosts within.
52,The Forgotten City,Thomas Lee,Fantasy,2015,A young adventurer discovers a forgotten city hidden beneath the earth.
53,The Alien Invasion,Karen Smith,Science Fiction,2018,Aliens invade Earth and a group of survivors must fight back.
54,The Mystery of the Lighthouse,James Wilson,Mystery,2011,A lighthouse keeper's mysterious death leads to a series of revelations.
55,The Dragon's Lair,Emma Johnson,Fantasy,2012,A dragon slayer must confront the most powerful dragon in the realm.
56,The Space Odyssey,Daniel Miller,Science Fiction,2019,A crew embarks on a journey to explore the outer reaches of the galaxy.
57,The Curse of the Pharaoh,Olivia Scott,Mystery,2009,An archaeologist uncovers an ancient tomb and unleashes a deadly curse.
58,The Enchanted Castle,Sophia Turner,Fantasy,2016,A princess must break a spell to save her kingdom from eternal darkness.
59,The Time Paradox,Paul Adams,Science Fiction,2019,A time traveler creates a paradox that threatens the existence of the universe.
60,The Ghostly Presence,Rebecca Young,Horror,2014,A woman moves into a new house and begins to experience strange occurrences.
61,The Lost Civilization,Ethan Gray,Fantasy,2017,An explorer discovers a lost civilization deep in the jungle.
62,The Alien Encounter,Megan Brown,Science Fiction,2019,A group of scientists make first contact with an alien species.
63,The Mystery of the Museum,Samuel Harris,Mystery,2012,A series of thefts at a museum leads to a complex mystery.
64,The Dragon's Quest,Ava Clark,Fantasy,2013,A young dragon rider embarks on a quest to save their kingdom.
65,The Space Exploration,Benjamin Turner,Science Fiction,2019,A spaceship crew explores a new galaxy and encounters strange phenomena.
66,The Haunted House,Charlotte Lee,Horror,2015,A family moves into a haunted house and must confront the spirits within.
67,The Forgotten Realm,Henry Scott,Fantasy,2017,A warrior must journey to a forgotten realm to save his people.
68,The Alien Invasion,Isabella Smith,Science Fiction,2019,Aliens invade Earth and a group of survivors must fight back.
69,The Mystery of the Manor,William Wilson,Mystery,2013,A wealthy family gathers for a weekend in a manor but one of them is murdered.
70,The Enchanted Forest,Natalie Johnson,Fantasy,2018,A group of children enter a magical forest and encounter mythical creatures.
71,The Time Traveler's Dilemma,Alexander Davis,Science Fiction,2019,A time traveler must decide whether to change the past or let history unfold.
