id,title,author,genre,publication_year,plot
101,The Secret Oasis,Tina Austin,Romance,2021,A young woman uncovers a concealed oasis that reveals her family's history and shapes her future.
102,The Mystery of the Shed,Tony Black,Mystery,2022,A sequence of enigmatic occurrences in an old shed unveils a concealed fortune and a family mystery.
103,The Dragon's Scream,Tracy White,Fantasy,2020,A young dragon rider confronts the ultimate challenge to demonstrate her value and rescue her kingdom from ruin.
104,The Lost Temple,Trevor Brown,Adventure,2023,"An adventurer finds a forgotten temple deep in the jungle, protected by ancient snares and curses."
105,The Phantom's Lullaby,Victor Green,Horror,2019,"A specter haunts a nursery, seeking vengeance on those who harmed him in life."
106,The Galactic Odyssey,Vincent Smith,Science Fiction,2021,"A spaceship crew sets out on a voyage to the universe's edge, encountering cosmic marvels and perils."
107,The Enchanted Glade,Violet Clark,Fantasy,2022,"A magical glade is the gateway to a hidden realm, and a young girl must explore its depths to save her family."
108,The Battle of the Gods,Walter Davis,Historical Fiction,2020,"Ancient deities engage in a battle for dominance, with humans caught in the middle."
109,The Haunted Abbey,Wendy White,Horror,2023,"An abbey with a sinister past is haunted by the ghosts of its former residents, seeking retribution on the living."
110,The Time Traveler's Journey,William Wilson,Science Fiction,2019,A time traveler must manage the paradoxes of his deeds to avert a disastrous future.
111,The Secret Sanctuary,Yvonne Austin,Romance,2021,A young woman finds a hidden sanctuary that reveals her family's history and shapes her future.
112,The Mystery of the Barn,Zachary Black,Mystery,2022,A sequence of enigmatic occurrences in an old barn unveils a concealed fortune and a family mystery.
113,The Dragon's Roar,Zara White,Fantasy,2020,A young dragon rider confronts the ultimate challenge to demonstrate her value and rescue her kingdom from ruin.
114,The Lost Ruins,Zoe Brown,Adventure,2023,"An adventurer finds forgotten ruins deep in the jungle, protected by ancient snares and mythical creatures."
115,The Phantom's Lament,Zach Green,Horror,2019,"A specter haunts a theater, seeking vengeance on those who harmed him in life."
116,The Galactic Adventure,Aaron Smith,Science Fiction,2021,"A spaceship crew sets out on a voyage to the universe's edge, encountering cosmic marvels and perils."
117,The Enchanted Lake,Bella Clark,Fantasy,2022,"A magical lake is the gateway to a hidden realm, and a young girl must explore its depths to save her family."
118,The Battle of the Heroes,Ben Davis,Historical Fiction,2020,"Ancient heroes engage in a battle for glory, with humans caught in the middle."
